revision,systematic_id,added_or_removed,value_y
20110324,SPAC3H5.09c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC4F8.06,added,('PMID:xxxxxxxx')
20110324,SPAC4F8.06,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC4G9.20c,added,('PMID:xxxxxxxx')
20110324,SPAC4G9.20c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC664.02c,added,('PMID:xxxxxxxx')
20110324,SPAC664.02c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC664.03,added,('PMID:xxxxxxxx')
20110324,SPAC664.03,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC688.14,added,('PMID:xxxxxxxx')
20110324,SPAC688.14,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC6B12.07c,added,('PMID:xxxxxxxx')
20110324,SPAC6B12.07c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC806.04c,added,('PMID:xxxxxxxx')
20110324,SPAC806.04c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC806.06c,added,('PMID:xxxxxxxx')
20110324,SPAC806.06c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC821.07c,added,('PMID:xxxxxxxx')
20110324,SPAC821.07c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC869.11,added,('PMID:xxxxxxxx')
20110324,SPAC869.11,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC8C9.11,added,('PMID:xxxxxxxx')
20110324,SPAC8C9.11,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC9.12c,added,('PMID:xxxxxxxx')
20110324,SPAC9.12c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPACUNK4.17,added,('PMID:xxxxxxxx')
20110324,SPACUNK4.17,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAP27G11.05c,added,('PMID:xxxxxxxx')
20110324,SPAP27G11.05c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAPB17E12.06,added,('PMID:xxxxxxxx')
20110324,SPAPB17E12.06,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAPB18E9.02c,added,('PMID:xxxxxxxx')
20110324,SPAPB18E9.02c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAPB1A10.05,added,('PMID:xxxxxxxx')
20110324,SPAPB1A10.05,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAPB1A10.08,added,('PMID:xxxxxxxx')
20110324,SPAPB1A10.08,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAPB24D3.03,added,('PMID:xxxxxxxx')
20110324,SPAPB24D3.03,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPBC1198.08,added,('PMID:xxxxxxxx')
20110324,SPBC1198.08,removed,"('PMID:20118936','PMID:18641648')"
