systematic_id	chromosome	primary_name	feature_type	category	merged_into	comment_addition	reference_addition	comment_removal	reference_removal
SPNCRNA.4981	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4982	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4983	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4984	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4985	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4986	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4987	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4988	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4989	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.499	I		misc_RNA,ncRNA,snoRNA	added_and_changed			PMID:18641648		
SPNCRNA.4990	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4991	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4992	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4993	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4994	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4995	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4996	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4997	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4998	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.4999	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5	I		ncRNA	added_and_removed					
SPNCRNA.50	I	prl50	lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.500	III		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5000	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5001	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5002	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5003	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5004	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5005	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5006	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5007	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5008	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5009	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.501	III		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5010	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5011	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5012	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5013	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5014	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5015	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5016	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5017	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5018	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5019	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.502	III		misc_RNA,ncRNA	added_changed_and_merged	SPNCRNA.1228			merged with SPNCRNA.1228	
SPNCRNA.5020	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5021	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5022	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5023	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5024	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5025	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5026	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5027	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5028	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5029	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.503	III		misc_RNA,ncRNA	added_changed_and_removed					
SPNCRNA.5030	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5031	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5032	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5033	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5034	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5035	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5036	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5037	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5038	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5039	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.504	III		misc_RNA,ncRNA	added_changed_and_merged	SPNCRNA.1235				
SPNCRNA.5040	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5041	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5042	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5043	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5044	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5045	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5046	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5047	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5048	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5049	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.505	III		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5050	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5051	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5052	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5053	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5054	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5055	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5056	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5057	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5058	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5059	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.506	III		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5060	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5061	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5062	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5063	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5064	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5065	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5066	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5067	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5068	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5069	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.507	I		misc_RNA,ncRNA	added_changed_and_merged	SPNCRNA.808		PMID:18641648		
SPNCRNA.5070	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5071	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5072	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5073	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5074	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5075	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5076	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5077	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5078	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5079	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.508	III		misc_RNA,ncRNA	added_changed_and_removed					
SPNCRNA.5080	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5081	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5082	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5083	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5084	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5085	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5086	II		lncRNA,ncRNA	added_and_changed					
