Systematic ID	Primary name	Date added	Comment	Reference
SPNCRNA.7656		2022-01-12		PMID:29914874
SPNCRNA.7655		2022-01-12		PMID:29914874
SPNCRNA.7654		2022-01-12		PMID:29914874
SPNCRNA.7653		2022-01-12		PMID:29914874
SPNCRNA.7652		2022-01-12		PMID:29914874
SPNCRNA.7651		2022-01-12		PMID:29914874
SPNCRNA.7650		2022-01-12		PMID:29914874
SPNCRNA.7649		2022-01-12		PMID:29914874
SPNCRNA.7648		2022-01-12		PMID:29914874
SPNCRNA.7647		2022-01-12		PMID:29914874
SPNCRNA.7646		2022-01-12		PMID:29914874
SPNCRNA.7645		2022-01-12		PMID:29914874
SPNCRNA.7644		2022-01-12		PMID:29914874
SPNCRNA.7643		2022-01-12		PMID:29914874
SPNCRNA.7642		2022-01-12		PMID:29914874
SPNCRNA.7641		2022-01-12		PMID:29914874
SPNCRNA.7640		2022-01-12		PMID:29914874
SPNCRNA.7639		2022-01-12		PMID:29914874
SPNCRNA.7638		2022-01-12		PMID:29914874
SPNCRNA.7637		2022-01-12		PMID:29914874
SPNCRNA.7636		2022-01-12		PMID:29914874
SPNCRNA.7635		2022-01-12		PMID:29914874
SPNCRNA.7634		2022-01-12		PMID:29914874
SPNCRNA.7633		2022-01-12		PMID:29914874
SPNCRNA.7632		2022-01-12		PMID:29914874
SPNCRNA.7631		2022-01-12		PMID:29914874
SPNCRNA.7630		2022-01-12		PMID:29914874
SPNCRNA.7629		2022-01-12		PMID:29914874
SPNCRNA.7628		2022-01-12		PMID:29914874
SPNCRNA.7627		2022-01-12		PMID:29914874
SPNCRNA.7626		2022-01-12		PMID:29914874
SPNCRNA.7625		2022-01-12		PMID:29914874
SPNCRNA.7624		2022-01-12		PMID:29914874
SPNCRNA.7623		2022-01-12		PMID:29914874
SPNCRNA.7622		2022-01-12		PMID:29914874
SPNCRNA.7621		2022-01-12		PMID:29914874
SPNCRNA.7620		2022-01-12		PMID:29914874
SPNCRNA.7619		2022-01-12		PMID:29914874
SPNCRNA.7618		2022-01-12		PMID:29914874
SPNCRNA.7617		2022-01-12		PMID:29914874
SPNCRNA.7616		2022-01-12		PMID:29914874
SPNCRNA.7615		2022-01-12		PMID:29914874
SPNCRNA.7614		2022-01-12		PMID:29914874
SPNCRNA.7613		2022-01-12		PMID:29914874
SPNCRNA.7612		2022-01-12		PMID:29914874
SPNCRNA.7611		2022-01-12		PMID:29914874
SPNCRNA.7610		2022-01-12		PMID:29914874
SPNCRNA.7609		2022-01-12		PMID:29914874
SPNCRNA.7608		2022-01-12		PMID:29914874
SPNCRNA.7607		2022-01-12		PMID:29914874
SPNCRNA.7606		2022-01-12		PMID:29914874
SPNCRNA.7605		2022-01-12		PMID:29914874
SPNCRNA.7604		2022-01-12		PMID:29914874
SPNCRNA.7603		2022-01-12		PMID:29914874
SPNCRNA.7602		2022-01-12		PMID:29914874
SPNCRNA.7601		2022-01-12		PMID:29914874
SPNCRNA.7600		2022-01-12		PMID:29914874
SPNCRNA.7599		2022-01-12		PMID:29914874
SPNCRNA.7598		2022-01-12		PMID:29914874
SPNCRNA.7597		2022-01-12		PMID:29914874
SPNCRNA.7596		2022-01-12		PMID:29914874
SPNCRNA.7595		2022-01-12		PMID:29914874
SPNCRNA.7594		2022-01-12		PMID:29914874
SPNCRNA.7593		2022-01-12		PMID:29914874
SPNCRNA.7592		2022-01-12		PMID:29914874
SPNCRNA.7591		2022-01-12		PMID:29914874
SPNCRNA.7590		2022-01-12		PMID:29914874
SPNCRNA.7589		2022-01-12		PMID:29914874
SPNCRNA.7588		2022-01-12		PMID:29914874
SPNCRNA.7587		2022-01-12		PMID:29914874
SPNCRNA.7586		2022-01-12		PMID:29914874
SPNCRNA.7585		2022-01-12		PMID:29914874
SPNCRNA.7584		2022-01-12		PMID:29914874
SPNCRNA.7583		2022-01-12		PMID:29914874
SPNCRNA.7582		2022-01-12		PMID:29914874
SPNCRNA.7581		2022-01-12		PMID:29914874
SPNCRNA.7580		2022-01-12		PMID:29914874
SPNCRNA.7579		2022-01-12		PMID:29914874
SPNCRNA.7578		2022-01-12		PMID:29914874
SPNCRNA.7577		2022-01-12		PMID:29914874
SPNCRNA.7576		2022-01-12		PMID:29914874
SPNCRNA.7575		2022-01-12		PMID:29914874
SPNCRNA.7574		2022-01-12		PMID:29914874
SPNCRNA.7573		2022-01-12		PMID:29914874
SPNCRNA.7572		2022-01-12		PMID:29914874
SPNCRNA.7571		2022-01-12		PMID:29914874
SPNCRNA.7570		2022-01-12		PMID:29914874
SPNCRNA.7569		2022-01-12		PMID:29914874
SPNCRNA.7568		2022-01-12		PMID:29914874
SPNCRNA.7567		2022-01-12		PMID:29914874
SPNCRNA.7566		2022-01-12		PMID:29914874
SPNCRNA.7565		2022-01-12		PMID:29914874
SPNCRNA.7564		2022-01-12		PMID:29914874
SPNCRNA.7563		2022-01-12		PMID:29914874
SPNCRNA.7562		2022-01-12		PMID:29914874
SPNCRNA.7561		2022-01-12		PMID:29914874
SPNCRNA.7560		2022-01-12		PMID:29914874
SPNCRNA.7559		2022-01-12		PMID:29914874
SPNCRNA.7558		2022-01-12		PMID:29914874
SPNCRNA.7557		2022-01-12		PMID:29914874
SPNCRNA.7556		2022-01-12		PMID:29914874
SPNCRNA.7555		2022-01-12		PMID:29914874
SPNCRNA.7554		2022-01-12		PMID:29914874
SPNCRNA.7553		2022-01-12		PMID:29914874
SPNCRNA.7552		2022-01-12		PMID:29914874
SPNCRNA.7551		2022-01-12		PMID:29914874
SPNCRNA.7550		2022-01-12		PMID:29914874
SPNCRNA.7549		2022-01-12		PMID:29914874
SPNCRNA.7548		2022-01-12		PMID:29914874
SPNCRNA.7547		2022-01-12		PMID:29914874
SPNCRNA.7546		2022-01-12		PMID:29914874
SPNCRNA.7545		2022-01-12		PMID:29914874
SPNCRNA.7544		2022-01-12		PMID:29914874
SPNCRNA.7543		2022-01-12		PMID:29914874
SPNCRNA.7542		2022-01-12		PMID:29914874
SPNCRNA.7541		2022-01-12		PMID:29914874
SPNCRNA.7540		2022-01-12		PMID:29914874
SPNCRNA.7539		2022-01-12		PMID:29914874
SPNCRNA.7538		2022-01-12		PMID:29914874
SPNCRNA.7537		2022-01-12		PMID:29914874
SPNCRNA.7536		2022-01-12		PMID:29914874
SPNCRNA.7535		2022-01-12		PMID:29914874
SPNCRNA.7534		2022-01-12		PMID:29914874
SPNCRNA.7533		2022-01-12		PMID:29914874
SPNCRNA.7532		2022-01-12		PMID:29914874
SPNCRNA.7531		2022-01-12		PMID:29914874
SPNCRNA.7530		2022-01-12		PMID:29914874
SPNCRNA.7529		2022-01-12		PMID:29914874
SPNCRNA.7528		2022-01-12		PMID:29914874
SPNCRNA.7527		2022-01-12		PMID:29914874
SPNCRNA.7526		2022-01-12		PMID:29914874
SPNCRNA.7525		2022-01-12		PMID:29914874
