revision	counts	date
20110418	0 0 1911 0 11 0 79 2155 314 0 587 0 64 32 0 0	2011-04-18
20110509	0 0 1912 0 11 0 78 2161 309 0 587 0 64 32 0 0	2011-05-09
20110603	0 0 1917 0 11 0 76 2171 309 0 587 0 66 32 0 0	2011-06-03
2	0 0 1936 0 11 0 73 2160 309 0 581 0 66 32 0 0	2011-08-01
46	0 0 1939 0 11 0 73 2159 310 0 580 0 66 31 0 0	2011-09-01
85	0 0 1940 0 11 0 73 2162 308 0 578 0 66 31 0 0	2011-10-01
118	0 0 1941 0 11 0 73 2162 308 0 577 0 66 31 0 0	2011-11-01
177	0 0 1942 0 11 0 73 2161 308 0 576 0 66 31 0 0	2011-12-01
207	0 0 1943 0 11 0 74 2160 307 0 577 0 66 31 0 0	2012-01-01
257	0 0 1945 0 11 0 73 2158 308 0 577 0 66 31 0 0	2012-02-01
304	0 0 1945 0 11 0 73 2158 307 0 578 0 66 31 0 0	2012-03-01
323	0 0 1949 0 11 0 72 2155 307 0 577 0 66 31 0 0	2012-04-01
350	0 0 1952 0 11 0 72 2152 307 0 577 0 66 31 0 0	2012-05-01
366	0 0 1953 0 11 0 72 2159 306 0 570 0 66 31 0 0	2012-06-01
496	0 0 1959 0 13 0 72 2155 306 0 568 0 66 29 0 0	2012-07-01
540	0 0 1962 0 13 0 72 2157 305 0 563 0 66 29 0 0	2012-08-01
609	0 0 1967 0 13 0 72 2156 304 0 561 0 66 29 0 0	2012-09-01
659	0 0 1976 0 13 0 72 2151 306 0 554 0 66 29 0 0	2012-10-01
697	0 0 1981 0 13 0 71 2153 307 0 547 0 66 29 0 0	2012-11-01
761	0 0 1987 0 13 0 71 2152 305 0 544 0 66 29 0 0	2012-12-01
793	0 0 1989 0 13 0 71 2150 305 0 544 0 66 29 0 0	2013-01-01
849	0 0 1996 0 13 0 71 2147 303 0 542 0 66 29 0 0	2013-02-01
909	0 0 1999 0 13 0 71 2145 303 0 541 0 66 29 0 0	2013-03-01
946	0 0 2001 0 13 0 71 2144 303 0 540 0 66 29 0 0	2013-04-01
992	0 0 2028 0 13 0 71 2121 303 0 536 0 66 29 0 0	2013-05-01
1051	0 0 2036 0 13 0 71 2116 302 0 534 0 66 29 0 0	2013-06-01
1100	0 0 2048 0 13 0 71 2110 301 0 533 0 62 29 0 0	2013-07-01
1122	0 0 2050 0 13 0 71 2110 299 0 533 0 62 29 0 0	2013-08-01
1203	0 0 2067 0 13 0 71 2099 296 0 529 0 62 29 0 0	2013-09-01
1289	0 0 2073 0 13 0 71 2094 295 0 529 0 62 29 0 0	2013-10-01
1357	0 0 2074 0 13 0 71 2099 295 0 521 0 64 29 0 0	2013-11-01
1391	0 0 2086 0 13 0 71 2089 294 0 521 0 64 29 0 0	2013-12-01
1453	0 0 2091 0 13 0 71 2088 294 0 517 0 64 29 0 0	2014-01-01
1493	0 0 2091 0 13 0 71 2088 294 0 517 0 64 29 0 0	2014-02-01
1559	0 0 2092 0 13 0 71 2087 294 0 517 0 64 29 0 0	2014-03-01
1630	0 0 2097 0 13 0 71 2082 294 0 517 0 64 29 0 0	2014-04-01
1673	0 0 2101 0 13 0 71 2079 294 0 516 0 64 29 0 0	2014-05-01
1751	0 0 2110 0 13 0 71 2072 292 0 516 0 64 29 0 0	2014-06-01
1884	0 0 2116 0 13 0 71 2064 291 0 518 0 64 29 0 0	2014-07-01
1990	0 0 2123 0 13 0 70 2058 295 0 517 0 64 29 0 0	2014-08-01
2137	0 0 2125 0 13 0 78 2061 145 0 536 0 183 29 0 0	2014-09-01
2211	0 0 2133 0 13 0 78 2057 145 0 536 0 179 29 0 0	2014-10-01
2308	0 0 2142 0 13 0 79 2051 145 0 534 0 178 29 0 0	2014-11-01
2407	0 0 2149 0 13 0 78 2051 145 0 527 0 178 29 0 0	2014-12-01
2461	0 0 2153 0 13 0 77 2046 145 0 529 0 178 29 0 0	2015-01-01
2533	0 0 2158 0 13 0 77 2044 145 0 526 0 178 29 0 0	2015-02-01
2644	0 0 2158 0 13 0 77 2046 145 0 524 0 178 29 0 0	2015-03-01
2701	0 0 2163 0 13 0 77 2043 145 0 524 0 176 29 0 0	2015-04-01
2745	0 0 2165 0 13 0 77 2040 145 0 525 0 176 29 0 0	2015-05-01
2791	0 0 2150 0 13 0 77 2070 145 0 510 0 176 29 0 0	2015-06-01
2813	0 0 2153 0 13 0 77 2066 144 0 511 0 177 29 0 0	2015-07-01
2857	0 0 2157 0 13 0 77 2063 144 0 510 0 177 29 0 0	2015-08-01
2918	0 0 2158 0 13 0 77 2061 144 0 511 0 177 29 0 0	2015-09-01
2970	0 0 2159 0 13 0 77 2060 144 0 511 0 177 29 0 0	2015-10-01
3045	0 0 2164 0 13 0 77 2056 144 0 510 0 177 29 0 0	2015-11-01
3148	0 0 2164 0 13 0 77 2057 146 0 510 0 178 29 0 0	2015-12-01
3212	0 0 2166 0 13 0 65 2058 145 0 508 0 178 29 0 0	2016-01-01
3259	0 0 2171 0 13 0 65 2053 145 0 508 0 178 29 0 0	2016-02-01
3332	0 0 2172 0 13 0 65 2053 145 0 508 0 178 28 0 0	2016-03-01
3389	0 0 2174 0 13 0 55 2051 149 0 508 0 183 28 0 0	2016-04-01
3429	0 0 2184 0 13 0 55 2043 149 0 506 0 183 28 0 0	2016-05-01
3461	0 0 2184 0 13 0 55 2044 149 0 505 0 183 28 0 0	2016-06-01
3498	0 0 2189 0 13 0 55 2039 149 0 505 0 183 28 0 0	2016-07-01
3552	0 0 2200 0 13 0 55 2029 149 0 505 0 182 28 0 0	2016-08-01
3605	0 0 2203 0 13 0 55 2030 149 0 502 0 181 28 0 0	2016-09-01
3661	0 0 2205 0 13 0 55 2025 148 0 506 0 181 28 0 0	2016-10-01
3721	0 0 2210 0 13 0 55 2020 148 0 506 0 181 28 0 0	2016-11-01
3755	0 0 2213 0 13 0 55 2028 148 0 496 0 180 28 0 0	2016-12-01
3805	0 0 2232 0 13 0 55 2014 148 0 491 0 180 28 0 0	2017-01-01
3857	0 0 2234 0 13 0 55 1992 148 0 511 0 180 28 0 0	2017-02-01
3897	0 0 2235 0 13 0 55 1989 148 0 513 0 180 28 0 0	2017-03-01
3964	0 0 2242 0 13 0 55 1990 148 0 506 0 179 28 0 0	2017-04-01
4019	0 0 2244 0 13 0 55 1988 147 0 507 0 179 28 0 0	2017-05-01
4070	0 0 2245 0 13 0 55 1998 147 0 500 0 175 28 0 0	2017-06-01
4120	0 0 2243 0 13 0 55 2031 125 0 493 0 173 28 0 0	2017-07-01
4212	0 0 2227 0 13 0 55 2102 120 0 443 0 173 28 0 0	2017-08-01
4264	0 0 2246 0 13 0 55 2091 120 0 436 0 172 28 0 0	2017-09-01
4320	0 0 2253 0 13 0 55 2098 123 0 419 0 172 28 0 0	2017-10-01
4392	0 0 2297 0 13 0 55 2055 123 0 418 0 172 28 0 0	2017-11-01
4453	0 0 2301 0 13 0 55 2054 123 0 415 0 172 28 0 0	2017-12-01
4498	0 0 2305 0 13 0 55 2052 123 0 417 0 168 28 0 0	2018-01-01
4547	0 0 2306 0 13 0 55 2049 123 0 419 0 168 28 0 0	2018-02-01
4603	0 0 2310 0 13 0 55 2048 123 0 416 0 168 28 0 0	2018-03-01
4708	0 0 2314 0 13 0 55 2052 123 0 410 0 166 28 0 0	2018-04-01
4773	0 0 2322 0 13 0 55 2045 123 0 410 0 165 28 0 0	2018-05-01
4837	0 0 2326 0 13 0 55 2042 123 0 410 0 164 28 0 0	2018-06-01
4900	0 0 2332 0 13 0 55 2036 123 0 410 0 164 28 0 0	2018-07-01
4941	0 0 2335 0 13 0 55 2033 123 0 410 0 164 28 0 0	2018-08-01
5033	0 0 2338 0 13 0 55 2031 122 0 410 0 163 28 0 0	2018-09-01
5091	0 0 2338 0 13 0 55 2031 122 0 410 0 163 28 0 0	2018-10-01
5174	0 0 2339 0 13 0 55 2030 122 0 410 0 163 28 0 0	2018-11-01
5249	0 0 2341 0 13 0 55 2030 122 0 410 0 161 28 0 0	2018-12-01
